6185476,14.267,18 57 24.487,+41 31 09.12,284.35204,41.51919,4043,4.539,18574+4131,KOI 227,AD   ,1998,2013,189,190,6.9,6.5,11.5,14.2,K   ,0.033,15.526,14.256,12.279,12.253,1.27,1.799,4.033,3.247,0.129,0.822,168
9266431,13.704,18 57 32.681,+45 43 10.96,284.38621,45.71969,5276,4.468,18575+4543,KOI 704,AB   ,2011,2011,180,180,1.7,1.7,13.45,18.47,R   ,0.073,14.272,13.639,12.401,12.379,0.633,0.812,2.307,1.871,0.022,0.914,14
6185584,14.896,18 57 36.348,+41 35 15.11,284.40142,41.58753,5126,4.208,18576+4135,DEA 260,     ,1998,2013,251,251,10.9,11,15.1,16.6,V   ,0.12,15.558,14.856,13.506,13.492,0.702,0.946,2.553,2.052,0.07,0.783,228
7097965,13.516,18 57 57.677,+42 38 53.84,284.49029,42.64828,5924,4.284,18580+4239,KOI2083,     ,2013,2014,176,166,0.3,0.3,13.9,15,    ,0.103,13.886,13.458,12.38,12.316,0.428,0.529,1.88,1.506,0.021,0.924,141
11231375,13.734,18 58 16.788,+48 57 16.27,284.56992,48.9545,5369,4.681,18583+4857,GII  46,     ,2012,2012,84,84,0.4,0.4,13.9,15.1,N   ,0.062,14.261,13.624,12.476,12.423,0.637,0.753,2.248,1.785,6.098,0.037,0.9
6266846,14.514,18 58 20.006,+41 36 37.91,284.58337,41.61056,5658,4.309,18583+4136,DEA 195,     ,1998,2013,7,7,9.2,9,14.7,17.8,V   ,0.121,15.025,14.457,13.378,13.314,0.568,0.73,2.074,1.647,0.051,0.882,170
6186054,14.307,18 58 28.752,+41 33 11.66,284.61979,41.55325,5152,4.622,18584+4133,DEA 374,     ,1998,2013,60,60,17.7,17.6,14.5,16.8,V   ,0.075,14.918,14.248,13.012,12.982,0.67,0.872,2.463,1.906,0.032,0.864,114
5771719,14.137,18 58 35.731,+41 00 54.07,284.64887,41.015,5425,4.225,18586+4101,KOI 190,     ,2013,2015,105,109,0.2,0.2,14.6,16,    ,0.11,14.717,14.069,12.881,12.817,0.648,0.828,2.321,1.836,0.035,0.891,53
7098355,14.805,18 58 37.891,+42 39 09.65,284.65787,42.65267,5138,4.569,18586+4239,KOI 454,     ,2014,2014,204,204,1.5,1.5,14.8,16.8,R   ,0.09,15.454,14.74,13.496,13.542,0.714,0.927,2.493,1.958,0.139,0.876,69
8674352,13.65,18 58 59.078,+44 48 00.25,284.74612,44.80006,5722,4.44,18589+4448,DEA 336,     ,1998,2013,243,243,14.5,14.5,13.8,18.2,V   ,0.089,14.087,13.6,12.506,12.497,0.487,0.625,1.963,1.581,0.014,0.89,174
4136466,13.446,18 59 26.434,+39 14 25.98,284.86012,39.24053,5731,4.57,18594+3914,KOI1344,AB   ,2013,2013,144,144,4,4,13.45,19.7,R   ,0.079,13.859,13.406,12.372,12.345,0.453,0.59,1.859,1.487,0.041,0.913,182
8081899,13.889,18 59 36.722,+43 57 14.26,284.903,43.95394,5307,4.887,18596+4357,KOI2426,AB   ,1998,2013,147,150,8.6,8.8,13.89,16.9,R   ,0.054,14.428,13.815,12.631,12.613,0.613,0.77,2.23,1.797,0.022,0.916,252
